Pizza_Id,Order_Id,Pizza_Name_Id,Quantity,Order Date,Order Date,Order Date,,Order Time,Unit Price,Total Price,Pizza Size,Pizza Category,Pizza Ingredients,pizza_name
1,1,Hawaiian_M,1,01/01/2015,11/06/2005,11/06/2005,27/06/1905,11:38 am,$13.25,$13.25,Medium,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
2,2,Classic_Dlx_M,1,01/01/2015,11/06/2005,11/06/2005,,11:57 am,$16.00,$16.00,Medium,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
3,2,Five_Cheese_L,1,01/01/2015,01/01/2015,01/01/2015,,11:57 am,$18.50,$18.50,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
4,2,Ital_Supr_L,1,01/01/2015,01/01/2015,01/01/2015,,11:57 am,$20.75,$20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
5,2,Mexicana_M,1,01/01/2015,01/01/2015,01/01/2015,,11:57 am,$16.00,$16.00,Medium,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
6,2,Thai_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,11:57 am,$20.75,$20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
7,3,Ital_Supr_M,1,01/01/2015,01/01/2015,01/01/2015,,12:12 pm,$16.50,$16.50,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
8,3,Prsc_Argla_L,1,01/01/2015,01/01/2015,01/01/2015,,12:12 pm,$20.75,$20.75,Large,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza
9,4,Ital_Supr_M,1,01/01/2015,01/01/2015,01/01/2015,,12:16 pm,$16.50,$16.50,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
10,5,Ital_Supr_M,1,01/01/2015,01/01/2015,01/01/2015,,12:21 pm,$16.50,$16.50,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
11,6,Bbq_Ckn_S,1,01/01/2015,01/01/2015,01/01/2015,,12:29 pm,$12.75,$12.75,Small,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
12,6,The_Greek_S,1,01/01/2015,01/01/2015,01/01/2015,,12:29 pm,$12.00,$12.00,Small,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
13,7,Spinach_Supr_S,1,01/01/2015,01/01/2015,01/01/2015,,12:50 pm,$12.50,$12.50,Small,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza
14,8,Spinach_Supr_S,1,01/01/2015,01/01/2015,01/01/2015,,12:51 pm,$12.50,$12.50,Small,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza
15,9,Classic_Dlx_S,1,01/01/2015,01/01/2015,01/01/2015,,12:52 pm,$12.00,$12.00,Small,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
16,9,Green_Garden_S,1,01/01/2015,01/01/2015,01/01/2015,,12:52 pm,$12.00,$12.00,Small,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
17,9,Ital_Cpcllo_L,1,01/01/2015,01/01/2015,01/01/2015,,12:52 pm,$20.50,$20.50,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
18,9,Ital_Supr_L,1,01/01/2015,01/01/2015,01/01/2015,,12:52 pm,$20.75,$20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
19,9,Ital_Supr_S,1,01/01/2015,01/01/2015,01/01/2015,,12:52 pm,$12.50,$12.50,Small,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
20,9,Mexicana_S,1,01/01/2015,01/01/2015,01/01/2015,,12:52 pm,$12.00,$12.00,Small,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
21,9,Spicy_Ital_L,1,01/01/2015,01/01/2015,01/01/2015,,12:52 pm,$20.75,$20.75,Large,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza
22,9,Spin_Pesto_L,1,01/01/2015,01/01/2015,01/01/2015,,12:52 pm,$20.75,$20.75,Large,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza
